pm10,so2,co,o3,no2,categori
30.0,5.0,4.0,33.0,5.0,0
42.0,6.0,8.0,47.0,7.0,0
45.0,4.0,8.0,37.0,9.0,0
26.0,3.0,11.0,35.0,9.0,0
26.0,5.0,5.0,31.0,7.0,0
36.0,3.0,5.0,27.0,10.0,0
40.0,2.0,8.0,46.0,9.0,0
40.0,2.0,8.0,46.0,11.0,0
34.0,3.0,7.0,41.0,9.0,0
45.0,5.0,5.0,43.0,7.0,0
43.0,4.0,3.0,27.0,8.0,0
46.0,3.0,7.0,45.0,8.0,0
49.0,2.0,7.0,45.0,13.0,0
35.0,9.0,14.0,47.0,3.0,0
40.0,17.0,23.0,24.0,4.0,0
26.0,18.0,13.0,40.0,3.0,0
39.0,18.0,22.0,40.0,6.0,0
42.0,25.0,17.0,28.0,9.0,0
34.0,7.0,7.0,49.0,6.0,0
34.0,8.0,6.0,46.0,3.0,0
32.0,2.0,12.0,29.0,9.0,0
50.0,4.0,4.0,30.0,8.0,0
44.0,4.0,4.0,29.0,7.0,0
50.0,4.0,3.0,48.0,9.0,0
44.0,2.0,4.0,47.0,8.0,0
50.0,12.0,10.0,34.0,8.0,0
27.0,7.0,7.0,49.0,9.0,0
41.0,3.0,8.0,43.0,5.0,0
26.0,2.0,4.0,27.0,5.0,0
32.0,4.0,5.0,29.0,8.0,0
48.0,14.0,7.0,46.0,9.0,0
36.0,17.0,7.0,48.0,5.0,0
40.0,25.0,12.0,44.0,9.0,0
43.0,42.0,12.0,45.0,8.0,0
25.0,19.0,12.0,46.0,5.0,0
40.0,19.0,14.0,35.0,5.0,0
38.0,18.0,13.0,47.0,5.0,0
21.0,19.0,14.0,46.0,5.0,0
30.0,18.0,15.0,30.0,4.0,0
37.0,18.0,18.0,40.0,5.0,0
38.0,22.0,9.0,43.0,3.0,0
50.0,22.0,10.0,28.0,4.0,0
50.0,14.0,10.0,45.0,9.0,0
44.0,14.0,7.0,37.0,8.0,0
41.0,14.0,4.0,31.0,8.0,0
45.0,18.0,4.0,28.0,8.0,0
41.0,21.0,10.0,46.0,8.0,0
43.0,21.0,12.0,45.0,11.0,0
50.0,22.0,14.0,49.0,5.0,0
43.0,21.0,12.0,41.0,4.0,0
40.0,9.0,10.0,48.0,3.0,0
49.0,12.0,17.0,41.0,2.0,0
