pm10,so2,co,o3,no2,categori
52.0,12.0,40.0,119.0,12.0,2
76.0,14.0,62.0,110.0,10.0,2
71.0,29.0,36.0,125.0,6.0,2
22.0,15.0,24.0,102.0,7.0,2
48.0,16.0,19.0,126.0,6.0,2
62.0,15.0,46.0,108.0,8.0,2
74.0,26.0,47.0,191.0,7.0,2
67.0,23.0,27.0,118.0,4.0,2
43.0,21.0,22.0,170.0,4.0,2
56.0,21.0,27.0,104.0,6.0,2
43.0,20.0,18.0,106.0,8.0,2
50.0,30.0,55.0,182.0,7.0,2
10.0,15.0,109.0,7.0,109.0,2
17.0,16.0,124.0,5.0,124.0,2
12.0,13.0,106.0,4.0,106.0,2
17.0,45.0,137.0,5.0,137.0,2
16.0,31.0,109.0,5.0,109.0,2
16.0,27.0,105.0,5.0,105.0,2
17.0,21.0,112.0,5.0,112.0,2
22.0,21.0,105.0,6.0,105.0,2
22.0,25.0,108.0,8.0,108.0,2
21.0,18.0,172.0,5.0,172.0,2
25.0,28.0,197.0,13.0,197.0,2
22.0,21.0,131.0,10.0,131.0,2
23.0,18.0,133.0,10.0,133.0,2
23.0,16.0,129.0,10.0,129.0,2
23.0,13.0,108.0,10.0,108.0,2
26.0,19.0,104.0,11.0,104.0,2
22.0,59.0,179.0,8.0,179.0,2
18.0,38.0,101.0,9.0,101.0,2
11.0,12.0,124.0,6.0,124.0,2
53.0,7.0,9.0,124.0,4.0,2
65.0,27.0,19.0,107.0,8.0,2
109.0,27.0,13.0,87.0,5.0,2
111.0,31.0,25.0,58.0,10.0,2
38.0,7.0,17.0,129.0,5.0,2
62.0,10.0,15.0,147.0,14.0,2
61.0,8.0,16.0,101.0,10.0,2
34.0,6.0,6.0,131.0,8.0,2
56.0,35.0,14.0,113.0,12.0,2
63.0,8.0,14.0,120.0,9.0,2
57.0,11.0,14.0,122.0,7.0,2
34.0,9.0,13.0,119.0,9.0,2
32.0,9.0,7.0,136.0,7.0,2
48.0,12.0,9.0,134.0,8.0,2
58.0,18.0,11.0,124.0,19.0,2
